Date;Country;City;Specie;count;min (ug/m3);max (ug/m3);median (ug/m3)
28-01-2017;US;Jacksonville;pm25;117;0.7;80.6;5.0
28-01-2017;US;Los Angeles;pm25;55;0.4;50.1;18.7
28-01-2017;CN;Shanghai;pm25;216;9.1;40.7;26.8
28-01-2017;US;Houston;pm25;95;0.4;40.7;4.8
28-01-2017;IN;New Delhi;pm25;13;90.3;187.8;101.9
29-01-2017;US;Houston;pm25;94;0.2;23.0;4.8
29-01-2017;CN;Wuhan;pm25;397;74.8;180.7;117.4
29-01-2017;CN;Shanghai;pm25;215;21.1;171.6;41.9
29-01-2017;US;Manhattan;pm25;48;0.4;16.8;8.3
29-01-2017;US;Los Angeles;pm25;45;1.6;53.7;14.4
29-01-2017;US;Jacksonville;pm25;118;0.4;29.2;7.2
29-01-2017;CN;Beijing;pm25;450;3.1;320.1;12.0
29-01-2017;IN;New Delhi;pm25;8;48.9;217.1;131.0
30-01-2017;US;Manhattan;pm25;69;0.2;16.8;8.3
30-01-2017;US;Jacksonville;pm25;114;0.2;28.7;5.0
30-01-2017;CN;Shanghai;pm25;197;7.2;50.9;15.9
30-01-2017;CN;Beijing;pm25;396;3.1;127.1;11.0
30-01-2017;IN;New Delhi;pm25;22;59.3;245.3;132.9
30-01-2017;CN;Wuhan;pm25;390;61.3;176.7;105.8
30-01-2017;US;Los Angeles;pm25;48;2.1;34.9;13.5
30-01-2017;US;Houston;pm25;96;0.4;31.1;6.7
31-01-2017;US;Jacksonville;pm25;114;1.2;49.7;8.1
31-01-2017;US;Manhattan;pm25;60;2.6;15.4;7.2
31-01-2017;US;Los Angeles;pm25;45;6.9;38.3;22.5
31-01-2017;CN;Wuhan;pm25;384;50.9;103.9;69.0
31-01-2017;CN;Shanghai;pm25;213;1.2;21.1;11.0
31-01-2017;IN;New Delhi;pm25;24;63.2;221.1;140.7
31-01-2017;US;Houston;pm25;96;0.9;19.2;4.8
31-01-2017;CN;Beijing;pm25;441;3.1;187.8;90.3
01-02-2017;IN;New Delhi;pm25;24;54.1;195.9;111.6
01-02-2017;CN;Wuhan;pm25;389;2.1;82.6;57.4
01-02-2017;US;Los Angeles;pm25;55;3.6;46.4;22.0
01-02-2017;CN;Beijing;pm25;455;3.1;275.7;12.0
01-02-2017;US;Houston;pm25;96;2.6;15.4;7.2
01-02-2017;CN;Shanghai;pm25;213;6.0;90.3;15.9
01-02-2017;US;Manhattan;pm25;48;1.9;15.4;7.2
01-02-2017;US;Jacksonville;pm25;107;1.2;14.4;4.0
02-02-2017;US;Los Angeles;pm25;72;0.2;38.7;16.8
02-02-2017;US;Houston;pm25;96;2.8;32.0;12.1
02-02-2017;US;Jacksonville;pm25;106;1.2;25.8;6.7
02-02-2017;CN;Beijing;pm25;436;3.1;414.0;88.4
02-02-2017;CN;Wuhan;pm25;404;35.9;88.4;63.2
02-02-2017;IN;New Delhi;pm25;23;54.1;300.9;180.7
02-02-2017;CN;Shanghai;pm25;214;4.0;96.1;14.0
02-02-2017;US;Manhattan;pm25;67;0.7;11.2;6.0
03-02-2017;US;Los Angeles;pm25;71;1.9;25.8;13.0
03-02-2017;CN;Shanghai;pm25;216;4.0;32.0;14.9
03-02-2017;CN;Wuhan;pm25;407;17.8;103.9;61.3
03-02-2017;US;Jacksonville;pm25;114;1.2;26.8;7.2
03-02-2017;US;Manhattan;pm25;72;1.9;12.5;6.9
03-02-2017;IN;New Delhi;pm25;13;111.6;281.7;201.9
03-02-2017;CN;Beijing;pm25;454;59.3;376.2;177.7
03-02-2017;US;Houston;pm25;96;3.6;23.5;8.8
04-02-2017;IN;New Delhi;pm25;4;144.5;154.5;148.4
04-02-2017;CN;Wuhan;pm25;378;16.8;76.8;44.8
04-02-2017;US;Los Angeles;pm25;68;1.9;24.9;10.5
04-02-2017;CN;Beijing;pm25;448;3.1;5.321.544.072.398.190;315.0
04-02-2017;CN;Shanghai;pm25;215;14.9;105.8;54.1
04-02-2017;US;Houston;pm25;96;3.6;27.3;9.1
04-02-2017;US;Jacksonville;pm25;113;2.6;18.2;7.2
04-02-2017;US;Manhattan;pm25;72;1.4;12.1;7.4
05-02-2017;US;Jacksonville;pm25;104;4.0;22.0;9.1
05-02-2017;IN;New Delhi;pm25;24;100.0;173.7;132.9
05-02-2017;US;Los Angeles;pm25;67;0.7;29.2;10.8
05-02-2017;US;Manhattan;pm25;72;5.0;20.6;9.3
05-02-2017;US;Houston;pm25;96;2.4;16.3;7.9
05-02-2017;CN;Beijing;pm25;439;3.1;411.0;11.0
05-02-2017;CN;Shanghai;pm25;216;82.6;152.5;113.6
05-02-2017;CN;Wuhan;pm25;380;24.9;131.0;52.9
06-02-2017;CN;Wuhan;pm25;381;38.7;129.0;76.8
06-02-2017;IN;New Delhi;pm25;23;41.9;272.7;177.7
06-02-2017;US;Manhattan;pm25;72;3.3;26.3;10.3
06-02-2017;US;Los Angeles;pm25;60;0.4;16.8;4.3
06-02-2017;US;Houston;pm25;96;3.6;21.1;7.4
06-02-2017;US;Jacksonville;pm25;109;4.0;31.1;11.0
06-02-2017;CN;Beijing;pm25;419;3.1;63.2;8.1
06-02-2017;CN;Shanghai;pm25;216;9.1;155.5;84.5
07-02-2017;US;Los Angeles;pm25;71;0.2;16.8;4.3
07-02-2017;US;Jacksonville;pm25;110;2.1;35.9;7.6
07-02-2017;US;Houston;pm25;90;1.2;21.1;7.9
07-02-2017;CN;Shanghai;pm25;216;3.1;30.1;14.0
07-02-2017;IN;New Delhi;pm25;20;41.9;140.7;63.2
07-02-2017;US;Manhattan;pm25;65;4.0;34.9;12.0
07-02-2017;CN;Beijing;pm25;350;3.1;134.9;69.0
07-02-2017;CN;Wuhan;pm25;399;16.8;129.0;52.9
08-02-2017;CN;Shanghai;pm25;215;4.0;31.1;14.0
08-02-2017;US;Houston;pm25;92;1.9;19.7;12.1
08-02-2017;IN;New Delhi;pm25;13;23.9;212.0;140.7
08-02-2017;US;Los Angeles;pm25;50;0.2;14.9;7.2
08-02-2017;US;Manhattan;pm25;65;0.4;35.9;6.9
08-02-2017;CN;Wuhan;pm25;374;15.9;107.7;33.9
08-02-2017;US;Jacksonville;pm25;103;0.2;18.7;4.3
08-02-2017;CN;Beijing;pm25;418;3.1;138.7;13.0
09-02-2017;CN;Wuhan;pm25;397;46.0;129.0;76.8
09-02-2017;US;Houston;pm25;96;4.3;46.4;10.0
